"customer_id","age","salary","spending_score","time_as_customer","loyalty_member","state","gender"
36,81,40350.86,0.64,7.23,"No","Massachusetts","Other"
37,88,60392.19,0.33,13.93,"No","Missouri","Male"
38,90,47975.77,0.39,9.39,"No","Maine","Male"
39,41,37403.34,0.97,13.73,"No","Tennessee","Male"
40,63,68181.96,0.91,5.3,"No","Delaware","Male"
41,39,37126.06,0.4,6.87,"No","Vermont","Female"
42,36,49852.03,0.52,5.47,"No","Georgia","Other"
43,62,33108.7,0.09,0.71,"No","Connecticut","Other"
44,26,83085.2,0.71,7.68,"No","Florida","Male"
45,59,43959.29,0.07,6.59,"No","Vermont","Female"
46,53,60413.01,0.84,3.42,"No","Kentucky","Other"
47,28,37108.66,0.24,19.24,"No","Iowa","Female"
48,61,48070.86,0.63,4.56,"No","Delaware","Female"
49,41,49409.07,0.48,16.96,"No","Missouri","Female"
50,79,35914.73,0.44,10.13,"No","Indiana","Male"
51,73,62126.9,0.44,13.77,"No","Kansas","Male"
52,68,53268.13,0.44,15.81,"No","Florida","Female"
53,55,55196.42,0.41,11.31,"No","South Dakota","Female"
54,77,64647.42,0.49,16.27,"No","Wisconsin","Female"
55,31,44231.67,0.33,3.48,"No","Delaware","Other"
56,18,32902.66,0.45,11.89,"No","South Carolina","Female"
57,36,45445.99,0.47,6.87,"No","Michigan","Other"
58,71,63979.18,0.41,18.7,"No","Vermont","Other"
59,90,45660.86,0.69,6.8,"No","Colorado","Male"
60,74,37239.69,0.63,17.61,"No","Indiana","Female"
61,50,71517.66,0.13,10.96,"No","North Carolina","Other"
62,22,34407.53,0.68,8.92,"No","Colorado","Other"
63,57,44793.43,0.68,18.85,"No","Mississippi","Female"
64,86,67369.64,0.54,4.87,"No","Kentucky","Female"
65,47,62237.73,0.02,8.48,"No","Oklahoma","Male"
66,51,35237.38,0.48,7.14,"No","Wisconsin","Male"
67,47,49695.35,0.12,13.26,"No","Oklahoma","Female"
68,34,59931.82,0.09,0.88,"No","Missouri","Other"
69,61,60630.21,0.57,19.46,"No","New York","Other"
70,45,50850.83,0.24,0.86,"No","Hawaii","Male"
71,66,61791.1,0.6,9.17,"No","South Carolina","Female"
72,90,33163.35,0.24,11.52,"No","Washington","Female"
73,32,69285.16,0.88,10.29,"No","West Virginia","Other"
74,70,71074.3,0.66,2.87,"No","Maine","Male"
75,70,51895.19,0.87,9.28,"No","Nebraska","Female"
76,73,73348.43,0.12,0.93,"No","Colorado","Male"
77,87,74285.04,0.09,17.3,"No","Utah","Other"
78,22,30026.56,0.43,2.31,"No","Louisiana","Female"
79,46,43837.95,0.73,17.01,"No","South Dakota","Female"
80,49,31816.17,0.85,11.87,"No","West Virginia","Other"
81,75,48815.38,0.7,3.69,"No","Colorado","Male"
82,50,72934.04,0.27,12.43,"No","Iowa","Female"
83,39,56223.78,0.02,16.35,"No","Michigan","Female"
84,83,70712.68,0.4,13.03,"No","New York","Male"
85,72,48888.54,0.56,11.51,"No","Ohio","Other"
86,22,29921.83,0.54,11.84,"No","Arizona","Male"
87,34,47153.6,0.83,6.48,"No","Colorado","Other"
88,76,42416.06,0.67,19.23,"No","Michigan","Other"
89,26,42375.76,0.03,8.07,"No","Idaho","Male"
90,18,78208.97,0.69,11.28,"No","Wisconsin","Male"
91,20,59269.04,0.61,12.14,"No","Colorado","Male"
92,28,51193.8,0.93,13.79,"No","Tennessee","Other"
93,28,65990.64,0.89,0.87,"No","Arizona","Female"
94,66,69324.13,0.88,15.64,"No","Indiana","Male"
95,47,53417.63,0.3,8.78,"No","Idaho","Male"
96,46,41766.61,0.53,13.72,"No","New Jersey","Male"
97,57,57148.78,0.93,7.12,"No","Oklahoma","Male"
98,32,55049.96,0.14,0.84,"No","California","Male"
99,32,44867.08,0.17,15.72,"No","Iowa","Female"
100,35,76160.58,0.55,1.18,"No","Georgia","Female"
101,71,67274.52,0.52,6.06,"No","Maine","Male"
102,51,45357.49,0.38,17.45,"No","Louisiana","Female"
103,56,89386.36,0.79,12.53,"No","Wisconsin","Male"
104,46,18861.2,0.08,12.03,"No","Texas","Male"
105,88,41033.55,0,11.98,"No","North Carolina","Male"
106,72,49468.07,0.85,19.45,"No","Arkansas","Other"
107,90,49654.86,0.09,9.79,"No","Kentucky","Other"
108,84,49449.2,0.52,4.22,"No","Minnesota","Other"
109,36,60989.35,0.26,5.13,"No","Delaware","Other"
110,86,36106.68,0.76,15.85,"No","Maine","Female"
111,21,51776.41,0.82,8.82,"No","New Mexico","Other"
112,58,47721.38,0.66,0.45,"No","North Carolina","Male"
113,22,68232.94,0.23,15.54,"No","Arizona","Female"
114,21,29538.71,0.23,15.2,"No","Washington","Other"
115,66,58402.54,0.22,3.3,"No","New York","Other"
116,23,56850.85,0.71,1.19,"No","Nevada","Other"
117,74,44780.84,0.38,19.02,"No","South Dakota","Other"
118,78,30810.85,0.51,1.81,"No","Indiana","Male"
119,53,50375.01,0,2.98,"No","Pennsylvania","Other"
120,66,22835.81,0.27,7.53,"No","Michigan","Male"
121,50,41913.58,0.26,1.95,"No","Colorado","Male"
122,71,15904.94,0.39,9.55,"No","Arkansas","Female"
123,34,40305.23,0.64,15.32,"No","South Dakota","Female"
124,40,85862.25,0.77,10.49,"No","Maine","Male"
125,80,56453.51,0.15,6.49,"No","Louisiana","Male"
126,19,57612.35,0.22,7.85,"No","Kentucky","Other"
127,89,58413.79,0.9,15.14,"No","Michigan","Female"
128,82,36766.19,0.15,3.72,"No","Arkansas","Other"
129,78,43601.33,0.2,14.22,"No","Montana","Female"
130,21,28118.3,0.06,6.11,"No","New Mexico","Female"
131,77,34026.01,0.74,13.91,"No","Michigan","Other"
132,47,69103.25,0.06,5.98,"No","Texas","Other"
133,56,68544.34,0.24,4.12,"No","Kansas","Male"
134,50,45651.08,0.28,6.14,"No","Oklahoma","Other"
135,41,79761.37,0.48,3.05,"No","Massachusetts","Other"
136,62,72438.37,0.72,1.93,"No","Connecticut","Female"
137,80,40420.09,0.36,6.17,"No","New York","Other"
138,73,43668.58,0.74,8.58,"No","Mississippi","Other"
139,86,27896.05,0.72,13.91,"No","Wisconsin","Female"
140,74,71542.31,0.29,5.15,"No","Minnesota","Female"
141,87,44670.84,0.21,1.19,"No","Massachusetts","Other"
142,77,65125.9,0.27,10.82,"No","Virginia","Female"
143,24,64889.44,0.72,18.64,"No","Maryland","Male"
144,30,39644.44,0.69,3.05,"No","West Virginia","Male"
145,30,25769.73,0.89,2.89,"No","Ohio","Other"
146,26,40639.46,0.26,16.16,"No","West Virginia","Male"
147,68,53378.99,0.8,16.06,"No","Vermont","Other"
148,20,29616.29,0.3,4.62,"No","Tennessee","Female"
149,48,46080.37,0.76,4.56,"No","Kentucky","Other"
150,74,61372.74,0.9,7.3,"No","Vermont","Other"
151,37,30812.75,0.57,19.64,"No","Ohio","Other"
152,18,72599.87,0.08,14.74,"No","California","Female"
153,49,41360.73,0.04,5.67,"No","West Virginia","Female"
154,64,54125.84,0.57,13.83,"No","North Dakota","Male"
155,89,56467.15,0.38,11.55,"No","North Dakota","Female"
156,41,44310.09,0.08,6.17,"No","Mississippi","Other"
157,56,37809.96,0.21,13.03,"No","Missouri","Male"
158,66,29796.51,0.23,6.62,"No","Nevada","Female"
159,79,62258.2,0.68,12.33,"No","North Carolina","Other"
160,70,59034.14,0.37,1.69,"No","Virginia","Male"
161,65,53418.51,0.76,12.23,"No","Virginia","Male"
162,83,67234.39,0.21,9.78,"No","Utah","Other"
163,35,50291.12,0.05,11.81,"No","New York","Male"
164,45,63473.04,0.48,19.2,"No","South Carolina","Female"
165,80,20287.25,0.68,16.15,"No","North Dakota","Other"
166,77,61187.2,0.9,1.58,"No","New Hampshire","Female"
167,47,27615.72,0.4,13.82,"No","Connecticut","Male"
168,53,60959.18,0.89,17.45,"No","Maine","Female"
169,79,74482.45,0.03,12.36,"No","Kentucky","Male"
170,63,49766.05,0.39,7.54,"No","Illinois","Female"
171,19,43695.26,0.22,15.63,"No","North Dakota","Male"
172,85,62844.13,0.2,14.61,"No","Maine","Female"
173,69,59146.04,0.76,14.33,"No","Colorado","Male"
174,49,59122.17,0.74,8.6,"No","Virginia","Male"
175,48,47047.72,0.22,13.64,"No","New Hampshire","Female"
176,71,34049.92,0.96,8.75,"No","Rhode Island","Other"
177,26,26913.74,0.28,12.18,"No","Maryland","Other"
178,50,65046.19,0.2,4.89,"No","New Jersey","Other"
179,57,45175.48,0.07,19.14,"No","Delaware","Male"
180,60,68728.27,0.72,12.85,"No","New Mexico","Male"
181,59,58482.16,0.73,7.69,"No","Iowa","Other"
182,71,28076.05,0.53,5.07,"No","South Carolina","Female"
183,67,55300.28,0.94,2.51,"No","Tennessee","Other"
184,22,35192.55,0.16,4.29,"No","Iowa","Male"
185,52,21934.89,0.04,9.98,"No","Indiana","Other"
186,41,49361.5,0.93,15.77,"No","Arizona","Other"
187,45,41672.23,0.29,7.08,"No","Mississippi","Other"
188,78,35125.37,0.4,1.82,"No","Florida","Female"
189,77,42634.5,0.67,2.81,"No","North Dakota","Other"
190,50,35827.23,0.03,13.29,"No","California","Other"
191,33,57706.41,0.98,15.82,"No","Iowa","Female"
192,69,50541.31,0.24,0.52,"No","Ohio","Male"
193,29,28195.3,0.18,6.65,"No","Utah","Male"
194,77,23647.82,0.51,2.8,"No","Utah","Female"
195,79,39001.47,0.16,7.41,"No","Tennessee","Other"
196,24,46624.26,0.57,10.71,"No","Washington","Female"
197,80,32656.71,0.92,3.16,"No","Ohio","Other"
198,28,65505.02,0.98,19.95,"No","Missouri","Male"
199,84,30173.1,0.01,19.46,"No","Florida","Other"
200,45,33513.81,0.48,5.7,"No","Rhode Island","Other"
201,68,43790.33,0.28,5.8,"No","Oklahoma","Male"
202,22,70386.47,0.4,4.85,"No","Minnesota","Male"
203,49,57951.64,0.16,7.57,"No","Mississippi","Other"
204,34,68822.35,0.57,18.78,"No","Colorado","Female"
205,27,42156.59,0.55,2.93,"No","Wyoming","Female"
206,31,62974.06,0.25,14.05,"No","Oklahoma","Female"
207,85,39834.06,0.63,9.94,"No","Texas","Female"
208,61,30868.47,0.81,13.47,"No","Utah","Other"
209,64,75234.06,0.86,14.45,"No","Arkansas","Male"
210,35,52652.07,0.57,6.81,"No","New Mexico","Female"
211,54,88636.52,0.34,8.74,"No","Utah","Female"
212,38,70959.16,0.68,16.47,"No","Alaska","Male"
213,50,64359.08,0.78,9.7,"No","Nebraska","Male"
214,42,54266.99,0.4,18.18,"No","Delaware","Other"
215,71,67554.16,0.16,2.29,"No","Utah","Male"
216,24,57511.12,0.13,6.27,"No","Ohio","Male"
217,37,81233.47,0.04,18.23,"No","Maine","Female"
218,45,62802.75,0.64,15.23,"No","Delaware","Male"
219,53,88216.3,0.44,1.55,"No","Rhode Island","Female"
220,72,62145.88,0.43,3.65,"No","Tennessee","Other"
221,76,42533.59,0.99,3.65,"No","Ohio","Female"
222,59,41584.48,0.45,1.82,"No","Maine","Other"
223,23,58334.91,0.9,2.92,"No","West Virginia","Other"
224,40,20973.72,0.01,12.14,"No","Washington","Male"
225,46,66659.17,0.61,7.85,"No","South Dakota","Female"
226,90,17926.05,0.96,16.78,"No","Nevada","Female"
227,79,34931.28,0.6,13.73,"No","Oregon","Female"
228,85,49065.52,0.21,19.31,"No","Colorado","Other"
229,79,59099.31,0.05,3.39,"No","Indiana","Male"
230,66,37087.39,0.86,6.49,"No","Montana","Female"
231,19,78982.93,0.52,7.25,"No","North Dakota","Female"
232,58,36633.1,0.89,4.47,"No","Georgia","Male"
233,60,36560.12,0.79,19.18,"No","Michigan","Female"
234,46,63996.48,0.04,19.98,"No","Kansas","Female"
235,60,41001.01,0.03,3.28,"No","Arizona","Male"
236,32,50883.69,0.56,11.25,"No","Kentucky","Other"
237,47,60426.72,0.92,11.83,"No","Wisconsin","Male"
238,18,44164.37,0.19,8.7,"No","North Carolina","Other"
239,42,33607.82,0.23,19.17,"No","New Jersey","Other"
240,83,65863.98,0.18,8.66,"No","Indiana","Male"
241,28,80332.87,0.86,17.5,"No","South Carolina","Other"
242,50,40091.98,0.57,16.38,"No","North Carolina","Male"
243,82,48647.75,0.91,10.04,"No","South Dakota","Female"
244,78,72004.97,0.3,12.6,"No","Iowa","Other"
245,58,50329.32,0.73,15.06,"No","Alaska","Female"
246,87,35075.87,0.92,6.04,"No","North Dakota","Other"
247,34,47426.05,0.51,19.53,"No","Oregon","Other"
248,39,41240.96,0.33,16.74,"No","West Virginia","Male"
249,67,68324.58,0.26,1.51,"No","Washington","Female"
250,48,61511.44,0.75,12.32,"No","Louisiana","Other"
251,32,55536.05,0.62,11.89,"No","Virginia","Female"
252,69,61514.1,0.2,14.34,"No","Vermont","Female"
253,79,43013.22,0.04,3.52,"No","New Jersey","Male"
254,40,49402.07,0.92,17,"No","New Hampshire","Other"
255,64,20279.47,0.6,3.43,"No","Wisconsin","Female"
256,61,36100.99,0.37,16.5,"No","Kansas","Male"
257,61,47467.03,0.73,0.84,"No","Michigan","Other"
258,33,54028.39,0.4,16.78,"No","Wisconsin","Male"
259,69,56864.2,0.65,11.84,"No","Wyoming","Female"
260,21,43220,0.53,18.26,"No","Alabama","Female"
261,60,64162.68,0.4,9.99,"No","Idaho","Male"
262,65,46526.22,0.91,11.19,"No","Vermont","Female"
263,23,22951.05,0.29,16.82,"No","Vermont","Female"
264,50,52067.01,0.88,8.31,"No","Arizona","Other"
265,56,55897.04,0.36,8.07,"No","Nebraska","Other"
266,28,52870.99,0.07,1.11,"No","California","Male"
267,34,35164.26,0.9,14.83,"No","Hawaii","Other"
268,35,46799.67,0.45,16.83,"No","North Carolina","Male"
269,37,37279.88,0.63,13.71,"No","Nevada","Other"
270,18,46276.59,0.99,4.36,"No","Washington","Male"
271,33,53299.39,0.05,2.32,"No","Kentucky","Other"
272,61,52665.58,1,13.52,"No","Minnesota","Female"
273,49,35268.94,0.61,13.06,"No","Maine","Female"
274,36,32528.68,0.67,3.22,"No","Wisconsin","Female"
275,41,55553.65,0.18,2.83,"No","Alaska","Male"
276,22,53022.37,0.47,15.59,"No","Oregon","Male"
277,46,46418.23,0.19,3.07,"No","Oregon","Male"
278,54,83388.6,0.78,9.47,"No","Illinois","Other"
279,32,34076,0.05,4.86,"No","Washington","Female"
280,26,54469.99,0.08,9.49,"No","New Hampshire","Other"
281,38,62936.04,0.82,6.58,"No","South Dakota","Other"
282,23,57564.32,0.54,1.53,"No","Colorado","Male"
283,18,46060.87,0.21,18.21,"No","Connecticut","Other"
284,43,57836.18,0.82,6.66,"No","Virginia","Male"
285,36,53084.41,0.78,12.14,"No","Arizona","Female"
286,32,29089.49,0.01,3.77,"No","South Dakota","Other"
287,60,75290.41,0.75,14.62,"No","Idaho","Female"
288,31,63019.85,0.42,10.68,"No","Pennsylvania","Male"
289,64,45492.64,0.21,18.36,"No","Hawaii","Female"
290,68,46470.9,0.62,15.96,"No","Texas","Other"
291,60,34455.27,0.07,3.22,"No","Virginia","Other"
292,56,52316.83,0.73,19.9,"No","Texas","Male"
293,58,17229.69,0.97,8.42,"No","Nevada","Male"
294,48,17452.1,0.14,15.8,"No","Louisiana","Female"
295,52,57209.89,0.9,16.03,"No","Wyoming","Male"
296,71,65605.52,0.16,19.8,"No","Rhode Island","Female"
297,53,21975.82,0.04,11.67,"No","Montana","Other"
298,31,41826.93,0.26,11.79,"No","West Virginia","Male"
299,48,90646.02,0.33,17.71,"No","Alaska","Male"
300,80,61055.43,0.81,7.53,"No","South Carolina","Other"
301,28,63845.68,0.93,16.62,"No","New Jersey","Male"
302,61,13346.07,0.15,5.73,"No","Pennsylvania","Other"
303,29,56280.2,0.95,15.03,"No","Missouri","Male"
304,29,52543.11,0.11,9.99,"No","Utah","Female"
305,62,68637.23,1,10.11,"No","Vermont","Male"
306,25,62249.79,0.44,11.51,"No","New Mexico","Male"
307,45,72767.81,0.82,0.82,"No","Oregon","Male"
308,85,19215.2,0.5,12.23,"No","Mississippi","Female"
309,87,54947.87,0.57,12.77,"No","Oklahoma","Female"
310,33,59162.9,0.95,4.31,"No","Kansas","Male"
311,62,65205.57,0.81,13.78,"No","Delaware","Female"
312,84,39361.38,0.57,13.95,"No","New Hampshire","Male"
313,34,61301.85,0.62,12.27,"No","Indiana","Female"
314,82,52770.14,0.85,12.73,"No","Florida","Male"
315,64,51963.41,0.78,4.34,"No","Michigan","Male"
316,56,34296.62,0.12,9.56,"No","Michigan","Female"
317,38,73295.88,0.59,10.08,"No","Delaware","Male"
318,55,50457.6,0.35,17.28,"No","Texas","Other"
319,34,68128.41,0.27,11.84,"No","Colorado","Female"
320,60,65887.96,0.82,17.28,"No","Delaware","Other"
321,75,73075.57,0.54,1.4,"No","Texas","Male"
322,67,53427.75,0.82,3.33,"No","Nevada","Male"
323,71,51391.82,0.2,0.69,"No","Missouri","Female"
324,86,57038.77,0.87,4.22,"No","Nevada","Other"
325,23,66560.84,0.57,14.27,"No","New Jersey","Other"
326,78,53799.27,0.84,15.19,"No","Missouri","Other"
327,28,45311.08,0,18.23,"No","Alaska","Female"
328,61,53057.95,0.71,13.74,"No","Oklahoma","Male"
329,59,54643.91,0.63,2.88,"No","Colorado","Other"
330,31,70855.2,0.99,8.38,"No","North Carolina","Male"
331,20,65972.22,0.36,10.78,"No","Hawaii","Male"
332,34,58911.09,0.15,3.28,"No","New York","Male"
333,54,50918.25,0.66,5.93,"No","Michigan","Male"
334,28,51235.03,0.89,15.62,"No","Michigan","Male"
335,64,52685,0.67,1.42,"No","Arizona","Male"
336,79,37792.87,0.5,2.76,"No","Wisconsin","Male"
337,82,38495.73,0.81,4.81,"No","Indiana","Other"
338,29,22623.01,0.06,16.05,"No","Idaho","Female"
339,32,71280.67,0.59,13.95,"No","Texas","Other"
340,24,73326.68,0,12.79,"No","Idaho","Female"
341,45,43735.27,0.44,5.79,"No","Nebraska","Female"
342,25,41239.89,0.26,16.45,"No","Alabama","Other"
343,59,28445.41,0.24,18.13,"No","Massachusetts","Male"
344,28,60259.81,0.38,11.09,"No","South Dakota","Male"
345,67,37262.13,0.68,5.93,"No","Virginia","Male"
346,85,55746.15,0.93,3.27,"No","Hawaii","Male"
347,42,69030.84,0.98,3.16,"No","Virginia","Other"
348,89,44132.91,0.56,17.12,"No","South Carolina","Other"
349,88,60668.53,0.63,6.96,"No","Maine","Other"
350,50,48287.35,0.85,4.36,"No","Mississippi","Other"
351,52,53867.65,0.01,10.24,"No","Alaska","Male"
352,25,56106.84,0.52,3.8,"No","Arkansas","Other"
353,84,38199.88,0.2,6.39,"No","Iowa","Male"
354,48,43257.66,0.88,15.44,"No","New Mexico","Male"
355,72,33423.41,0.14,18.15,"No","Alabama","Male"
356,69,54398.96,0.42,15.7,"No","Hawaii","Female"
357,69,62099.63,0.44,13.79,"No","Maine","Male"
358,21,49521.64,0.54,5.98,"No","Delaware","Female"
359,81,31607.25,0.62,2.81,"No","Nevada","Male"
360,50,49427.6,0.01,5.67,"No","Nevada","Other"
361,54,61523.69,0.11,15.39,"No","Rhode Island","Male"
362,31,60428.39,0.54,9.63,"No","Connecticut","Female"
363,82,35680.33,0.68,13.37,"No","Minnesota","Female"
364,52,49321.1,0.98,2.27,"No","Wyoming","Other"
365,38,40268.31,0.57,9.44,"No","Georgia","Other"
366,67,51688.86,0.9,13.01,"No","Arizona","Male"
367,38,33453.87,0.58,18.73,"No","Oklahoma","Male"
368,77,52744.16,0.38,13.39,"No","Maine","Male"
369,35,69555.61,0.83,17.88,"No","Mississippi","Other"
370,54,48198.59,0.95,7.86,"No","Kansas","Female"
371,25,46247.9,0.33,7.61,"No","South Carolina","Other"
372,46,76553,0.92,13.19,"No","Maine","Other"
373,83,31050.38,0.84,6.22,"No","Wyoming","Male"
374,54,29932.08,0.13,5.56,"No","Nebraska","Female"
375,31,40253.63,0.34,13.63,"No","Virginia","Female"
376,21,50782.71,0.43,16.53,"No","Kentucky","Other"
377,25,56206.03,0.76,7.27,"No","Oregon","Other"
378,46,62081.97,0.64,5.42,"No","Washington","Other"
379,65,62393.04,0.64,0.38,"No","Washington","Other"
380,56,51729.59,0.19,7.75,"No","Minnesota","Female"
381,77,71943.01,0.86,14.21,"No","Tennessee","Other"
382,29,68888.81,0.39,6.23,"No","Kansas","Other"
383,33,49390.06,0.9,17.7,"No","Colorado","Male"
384,23,57639.24,0.54,12.9,"No","Minnesota","Female"
385,22,81236.06,0.43,1.76,"No","Nebraska","Male"
386,41,59026.52,0.63,12.61,"No","Hawaii","Male"
387,36,57592.01,0.79,6.34,"No","Tennessee","Female"
388,88,55524.38,0.7,7.71,"No","North Carolina","Male"
389,45,37676.87,0.7,18.1,"No","Oklahoma","Other"
390,24,71719.83,0.06,5.63,"No","Virginia","Male"
391,78,17813.57,0.77,0.31,"No","Kentucky","Female"
392,70,47997.16,0.13,2.87,"No","Kentucky","Male"
393,66,36020.3,0.56,2.31,"No","Oklahoma","Female"
394,67,62223.05,0.73,13.02,"No","North Carolina","Male"
395,72,42173,0.88,8.66,"No","Iowa","Other"
396,50,46741.44,0.76,8.11,"No","Nebraska","Other"
397,37,69699.48,0.23,11.55,"No","Alabama","Other"
398,18,36022.33,0.72,2.09,"No","Pennsylvania","Male"
399,75,39126.63,0.5,4.57,"No","Alaska","Female"
400,89,59361.15,0.46,3.41,"No","Kentucky","Female"
401,33,44268.64,0.14,2.88,"No","Ohio","Other"
402,36,61379.41,0.52,11.91,"No","Oregon","Female"
403,79,59710.04,0.76,10.27,"No","Nebraska","Male"
404,49,59666.89,0.88,8.54,"No","Colorado","Male"
405,43,67187.46,0.02,7.26,"No","Arizona","Male"
406,22,44145.36,0.01,17.58,"No","Texas","Female"
407,68,51626,0.42,2.97,"No","Missouri","Male"
408,51,40775.8,0.87,14.16,"No","South Dakota","Female"
409,51,38524.39,0.06,9.08,"No","Idaho","Other"
410,35,47822.47,0.15,11.64,"No","Arkansas","Male"
411,44,52378.68,0.69,8.34,"No","Indiana","Other"
412,48,51230.63,0.59,4.77,"No","Pennsylvania","Other"
413,60,41430.81,0.96,5.83,"No","Louisiana","Other"
414,54,27079.42,0.02,10.04,"No","Missouri","Female"
415,20,46531.62,0.91,19.56,"No","Kentucky","Other"
416,70,80752.72,0.37,3.33,"No","Florida","Male"
417,88,43801.62,0.63,9.72,"No","West Virginia","Male"
418,39,57367.19,0.86,19.82,"No","Georgia","Other"
419,42,61298.39,0.89,10.75,"No","New York","Female"
420,57,64333.37,0.68,18.97,"No","Massachusetts","Female"
421,68,24098.18,0.32,9.65,"No","Wisconsin","Other"
422,74,54465.04,0.43,14.71,"No","Georgia","Other"
423,34,62894.32,0.43,13.08,"No","Oklahoma","Male"
424,68,25904.89,0.87,16.1,"No","New Jersey","Other"
425,24,45951.27,0.2,12.88,"No","South Carolina","Other"
426,68,60376.86,0.03,0.52,"No","Alabama","Other"
427,63,28159.15,0.42,2.75,"No","Oklahoma","Female"
428,85,43175.76,0.21,3.38,"No","Kentucky","Other"
429,76,75408.73,0.84,6.6,"No","California","Female"
430,82,56644.79,0.32,4.84,"No","New Jersey","Male"
431,55,61791.09,0.13,19.39,"No","Pennsylvania","Male"
432,69,46421.05,0.29,15.22,"No","Missouri","Other"
433,51,63221.93,0.32,3.81,"No","Illinois","Other"
434,58,27000.45,0.76,15.42,"No","New York","Other"
435,42,67711.8,0.21,11.97,"No","North Carolina","Other"
436,43,64332.44,0.26,5.52,"No","Missouri","Male"
437,44,31490.74,0.33,14.46,"No","North Dakota","Other"
438,66,46034.07,0.11,5.97,"No","Missouri","Other"
439,26,57335.45,0.06,18.24,"No","Massachusetts","Other"
440,70,50979.86,0.08,16.19,"No","South Carolina","Male"
441,79,34297.86,0.75,10.01,"No","Kentucky","Male"
442,70,47121.11,0.66,12.79,"No","New Hampshire","Other"
443,47,75196.26,0.09,5.57,"No","Arizona","Other"
444,49,50288.11,0.64,12.83,"No","Oregon","Other"
445,78,39273.94,0.43,16.78,"No","West Virginia","Female"
446,54,58853.27,0.57,3.08,"No","Wyoming","Other"
447,32,37630.44,0.89,15.41,"No","Montana","Female"
448,89,55953.49,0.7,7.55,"No","Nebraska","Other"
449,72,54170.48,0.56,18.87,"No","Wisconsin","Female"
450,49,34974.78,0.17,16.02,"No","Colorado","Female"
451,76,58889.35,0.94,16.48,"No","Mississippi","Female"
452,21,47993.96,0.62,3.14,"No","Tennessee","Other"
453,22,50867.61,0.45,2.48,"No","Wisconsin","Female"
454,69,34909.75,0.82,17.49,"No","Wisconsin","Male"
455,68,44482.53,0.4,7.9,"No","Illinois","Female"
456,35,57537.38,0.55,2.77,"No","Alabama","Other"
457,56,52819.25,0.46,8.33,"No","Louisiana","Other"
458,32,50921.5,0.18,11.21,"No","Kansas","Female"
459,18,54418.48,0.02,17.14,"No","Texas","Female"
460,87,59533.15,0.64,4.4,"No","Rhode Island","Female"
461,36,53455.55,0.03,4.39,"No","South Carolina","Other"
462,29,69060.89,0.5,15.9,"No","Ohio","Other"
463,43,26469.33,0.11,3.27,"No","Mississippi","Male"
464,39,44519.91,0.55,4.57,"No","New Hampshire","Other"
465,37,53648.01,0.55,7.36,"No","South Dakota","Male"
466,69,80377.11,0.02,15.31,"No","Wisconsin","Other"
467,38,48973.43,0.38,15.58,"No","Hawaii","Male"
468,32,54313.47,0.84,18.1,"No","Oregon","Other"
469,68,25858.4,0.88,17.46,"No","Vermont","Other"
470,41,37040.64,0.08,8.58,"No","Indiana","Female"
471,48,19093.63,0.47,12.54,"No","New Mexico","Male"
472,85,37657.54,0.1,6.95,"No","Colorado","Female"
473,74,70796.03,0.27,8.37,"No","Mississippi","Other"
474,33,48149.32,0.37,10.12,"No","Missouri","Female"
